geolocation,recclass,fall,reclong,id,nametype,year,reclat,mass,name
"{'type': 'Point', 'coordinates': [16.2, 39.8]}",Stone-uncl,Fell,16.200000,5295,Valid,1583-01-01T00:00:00.000,39.800000,15000,Castrovillari
"{'type': 'Point', 'coordinates': [-79.25, 36.5]}",OC,Fell,-79.250000,5296,Valid,1810-01-01T00:00:00.000,36.500000,1360,Caswell County
"{'type': 'Point', 'coordinates': [-105.23333, 26.46667]}",L3.7,Fell,-105.233330,5306,Valid,1988-01-01T00:00:00.000,26.466670,1025,Ceniceros
"{'type': 'Point', 'coordinates': [-96.91667, 43.2]}",H5,Fell,-96.916670,5307,Valid,1956-01-01T00:00:00.000,43.200000,45.6,Centerville
"{'type': 'Point', 'coordinates': [8.3, 45.08333]}",H5,Fell,8.300000,5308,Valid,1840-01-01T00:00:00.000,45.083330,6460,Cereseto
"{'type': 'Point', 'coordinates': [109.31667, 28.53333]}",L6,Fell,109.316670,5313,Valid,1998-01-01T00:00:00.000,28.533330,3700,Chadong
"{'type': 'Point', 'coordinates': [81.66667, 25.36667]}",H6,Fell,81.666670,5314,Valid,1814-01-01T00:00:00.000,25.366670,0.5,Chail
"{'type': 'Point', 'coordinates': [83.48333, 25.85]}",LL3.4,Fell,83.483330,5315,Valid,1907-01-01T00:00:00.000,25.850000,8200,Chainpur
"{'type': 'Point', 'coordinates': [-58.05, -30.78333]}",L5,Fell,-58.050000,5316,Valid,1933-01-01T00:00:00.000,-30.783330,18300,Chajari
"{'type': 'Point', 'coordinates': [76.01667, 20.26667]}",L5,Fell,76.016670,5320,Valid,1838-01-01T00:00:00.000,20.266670,8800,Chandakapur
"{'type': 'Point', 'coordinates': [79.05, 27.28333]}",L6,Fell,79.050000,5321,Valid,1885-01-01T00:00:00.000,27.283330,1100,Chandpur
"{'type': 'Point', 'coordinates': [111.75, 29.08333]}",H5,Fell,111.750000,5322,Valid,1977-01-01T00:00:00.000,29.083330,1810,Changde
"{'type': 'Point', 'coordinates': [1.05, 46.68333]}",L6,Fell,1.050000,5325,Valid,1812-01-01T00:00:00.000,46.683330,31500,Chantonnay
"{'type': 'Point', 'coordinates': [-87.33333, 36.16667]}","Iron, IVA",Fell,-87.333330,5328,Valid,1835-01-01T00:00:00.000,36.166670,4300,Charlotte
"{'type': 'Point', 'coordinates': [1.56667, 47.93333]}",H6,Fell,1.566670,5329,Valid,1810-01-01T00:00:00.000,47.933330,27000,Charsonville
"{'type': 'Point', 'coordinates': [75.5, 29.48333]}",H6,Fell,75.500000,5330,Valid,1834-01-01T00:00:00.000,29.483330,12000,Charwallas
"{'type': 'Point', 'coordinates': [5.36667, 47.71667]}",Martian (chassignite),Fell,5.366670,5331,Valid,1815-01-01T00:00:00.000,47.716670,4000,Chassigny
"{'type': 'Point', 'coordinates': [2.91667, 47.93333]}",L6,Fell,2.916670,5332,Valid,1841-01-01T00:00:00.000,47.933330,30000,Château-Renard
"{'type': 'Point', 'coordinates': [-7.46667, 41.93333]}",Howardite,Fell,-7.466670,5334,Valid,1925-01-01T00:00:00.000,41.933330,2945,Chaves
"{'type': 'Point', 'coordinates': [32.5, -3.66667]}",H4,Fell,32.500000,5338,Valid,1988-01-01T00:00:00.000,-3.666670,2936,Chela
"{'type': 'Point', 'coordinates': [61.11667, 54.81667]}",LL5,Fell,61.116670,57165,Valid,2013-01-01T00:00:00.000,54.816670,100000,Chelyabinsk
"{'type': 'Point', 'coordinates': [-5.01472, 23.69639]}",H5,Fell,-5.014720,47347,Valid,2007-01-01T00:00:00.000,23.696390,100000,Chergach 
"{'type': 'Point', 'coordinates': [30.1, 53.7]}",H4,Fell,30.100000,5339,Valid,1964-01-01T00:00:00.000,53.700000,6000,Chernyi Bor
"{'type': 'Point', 'coordinates': [-81.88333, 35.03333]}",LL6,Fell,-81.883330,5340,Valid,1933-01-01T00:00:00.000,35.033330,8400,Cherokee Springs
"{'type': 'Point', 'coordinates': [6.81667, 46.55]}",L5,Fell,6.816670,5341,Valid,1901-01-01T00:00:00.000,46.550000,705,Chervettaz
"{'type': 'Point', 'coordinates': [34, 50.83333]}",Eucrite-mmict,Fell,34.000000,5342,Valid,1939-01-01T00:00:00.000,50.833330,1700,Chervony Kut
"{'type': 'Point', 'coordinates': [76.5, 14.5]}",Stone-uncl,Fell,76.500000,5344,Valid,1880-01-01T00:00:00.000,14.500000,72,Chetrinahatti
"{'type': 'Point', 'coordinates': [101.63333, 17.9]}",H6,Fell,101.633330,5345,Valid,1981-01-01T00:00:00.000,17.900000,367,Chiang Khan
"{'type': 'Point', 'coordinates': [-79.73333, 40.93333]}",LL6,Fell,-79.733330,5349,Valid,1938-01-01T00:00:00.000,40.933330,303,Chicora
"{'type': 'Point', 'coordinates': [33.395, -10.05944]}","Iron, IIIAB",Fell,33.395000,5355,Valid,1988-01-01T00:00:00.000,-10.059440,3920,Chisenga
"{'type': 'Point', 'coordinates': [13.96667, -17.35]}",L6,Fell,13.966670,5356,Valid,1966-01-01T00:00:00.000,-17.350000,,Chitado
"{'type': 'Point', 'coordinates': [0.97667, 47.47083]}",L6,Fell,0.976670,5357,Valid,1978-01-01T00:00:00.000,47.470830,4000,Chitenay
"{'type': 'Point', 'coordinates': [108.1, -6.95]}",L5,Fell,108.100000,5364,Valid,1979-01-01T00:00:00.000,-6.950000,1600,Cilimus
"{'type': 'Point', 'coordinates': [-81.87278, 32.1025]}",L6,Fell,-81.872780,5374,Valid,1984-01-01T00:00:00.000,32.102500,1455,Claxton
,L4,Fell,,5383,Valid,1822-01-01T00:00:00.000,,48.6,Clohars
"{'type': 'Point', 'coordinates': [-90.28333, 44.9]}",L6,Fell,-90.283330,5395,Valid,1917-01-01T00:00:00.000,44.900000,104000,Colby (Wisconsin)
"{'type': 'Point', 'coordinates': [19.38333, -33.13333]}",CM2,Fell,19.383330,5397,Valid,1838-01-01T00:00:00.000,-33.133330,5200,Cold Bokkeveld
"{'type': 'Point', 'coordinates': [-84.50778, 43.76111]}",L6,Fell,-84.507780,5401,Valid,1994-01-01T00:00:00.000,43.761110,469,Coleman
"{'type': 'Point', 'coordinates': [12.61667, 42.53333]}",H5,Fell,12.616670,5403,Valid,1890-01-01T00:00:00.000,42.533330,5000,Collescipoli
"{'type': 'Point', 'coordinates': [-47.55, -19.85]}",H4,Fell,-47.550000,5418,Valid,1965-01-01T00:00:00.000,-19.850000,20350,Conquista
"{'type': 'Point', 'coordinates': [-100.86667, 21.16667]}",H5,Fell,-100.866670,5451,Valid,1844-01-01T00:00:00.000,21.166670,1200,Cosina
"{'type': 'Point', 'coordinates': [76.26667, 10.2]}",L6,Fell,76.266670,5465,Valid,1917-01-01T00:00:00.000,10.200000,1460,Cranganore
"{'type': 'Point', 'coordinates': [-97.58333, 35.95]}",CM2,Fell,-97.583330,5470,Valid,1936-01-01T00:00:00.000,35.950000,78.400000000000006,Crescent
"{'type': 'Point', 'coordinates': [27.3, -27.7]}",H5,Fell,27.300000,5474,Valid,1877-01-01T00:00:00.000,-27.700000,3650,Cronstad
"{'type': 'Point', 'coordinates': [-78.13333, 35.63333]}",H5,Fell,-78.133330,5476,Valid,1892-01-01T00:00:00.000,35.633330,167,Cross Roads
"{'type': 'Point', 'coordinates': [-6.21667, 54.61667]}",L5,Fell,-6.216670,5477,Valid,1902-01-01T00:00:00.000,54.616670,4255,Crumlin
"{'type': 'Point', 'coordinates': [-84.35, 36.83333]}",Aubrite,Fell,-84.350000,5496,Valid,1919-01-01T00:00:00.000,36.833330,17000,Cumberland Falls
"{'type': 'Point', 'coordinates': [-84.25, 38.4]}",L/LL4,Fell,-84.250000,5500,Valid,1877-01-01T00:00:00.000,38.400000,6000,Cynthiana
"{'type': 'Point', 'coordinates': [8.83333, 35.61667]}",LL6,Fell,8.833330,5504,Valid,1981-01-01T00:00:00.000,35.616670,18000,Dahmani
"{'type': 'Point', 'coordinates': [83.96667, 26.91667]}",L6,Fell,83.966670,5511,Valid,1878-01-01T00:00:00.000,26.916670,5650,Dandapur
"{'type': 'Point', 'coordinates': [24.56667, -28.2]}",EL6,Fell,24.566670,5513,Valid,1868-01-01T00:00:00.000,-28.200000,1064,Daniel's Kuil
"{'type': 'Point', 'coordinates': [-87.06667, 34.4]}",L6,Fell,-87.066670,5514,Valid,1868-01-01T00:00:00.000,34.400000,2000,Danville
"{'type': 'Point', 'coordinates': [8.65, 49.86667]}",H5,Fell,8.650000,6603,Valid,1804-01-01T00:00:00.000,49.866670,100,Darmstadt
"{'type': 'Point', 'coordinates': [59.685, 41.98444]}",H5,Fell,59.685000,6604,Valid,1998-01-01T00:00:00.000,41.984440,7000,Dashoguz
"{'type': 'Point', 'coordinates': [-79.95756, -1.87089]}",L5,Fell,-79.957560,51559,Valid,2008-01-01T00:00:00.000,-1.870890,6580,Daule
"{'type': 'Point', 'coordinates': [-80, 43]}",H6,Fell,-80.000000,6621,Valid,1887-01-01T00:00:00.000,43.000000,340,De Cewsville
"{'type': 'Point', 'coordinates': [-74, 40.25]}",L6,Fell,-74.000000,6634,Valid,1829-01-01T00:00:00.000,40.250000,28,Deal
"{'type': 'Point', 'coordinates': [77.25, 28.56667]}",L5,Fell,77.250000,6642,Valid,1897-01-01T00:00:00.000,28.566670,0.8,Delhi
"{'type': 'Point', 'coordinates': [84.76667, 51.46667]}",L6,Fell,84.766670,6649,Valid,1911-01-01T00:00:00.000,51.466670,16400,Demina
"{'type': 'Point', 'coordinates': [-104.93056, 39.7825]}",L6,Fell,-104.930560,6660,Valid,1967-01-01T00:00:00.000,39.782500,230,Denver
"{'type': 'Point', 'coordinates': [93.86667, 26.68333]}",H5,Fell,93.866670,6664,Valid,2001-01-01T00:00:00.000,26.683330,12500,Dergaon
"{'type': 'Point', 'coordinates': [73.61667, 25.73333]}",H6,Fell,73.616670,6693,Valid,1962-01-01T00:00:00.000,25.733330,25400,Desuri
"{'type': 'Point', 'coordinates': [81, 19]}",H3.8,Fell,81.000000,6694,Valid,2001-01-01T00:00:00.000,19.000000,12000,Devgaon
"{'type': 'Point', 'coordinates': [76.525, 24.225]}",L6,Fell,76.525000,6696,Valid,1994-01-01T00:00:00.000,24.225000,1140,Devri-Khera
"{'type': 'Point', 'coordinates': [71.42722, 22.37778]}",H3.8,Fell,71.427220,6698,Valid,1976-01-01T00:00:00.000,22.377780,45000,Dhajala
"{'type': 'Point', 'coordinates': [75.6, 14.88333]}",OC,Fell,75.600000,6699,Valid,1848-01-01T00:00:00.000,14.883330,1800,Dharwar
"{'type': 'Point', 'coordinates': [76.46667, 32.23333]}",LL6,Fell,76.466670,7640,Valid,1860-01-01T00:00:00.000,32.233330,32000,Dhurmsala
"{'type': 'Point', 'coordinates': [27.32997, 37.35172]}",H3-5,Fell,27.329970,47350,Valid,2007-01-01T00:00:00.000,37.351720,3396,Didim
"{'type': 'Point', 'coordinates': [18.56667, -33.75]}",L6,Fell,18.566670,7642,Valid,1906-01-01T00:00:00.000,-33.750000,1000,Diep River
"{'type': 'Point', 'coordinates': [-60.46667, -31.88333]}",H4,Fell,-60.466670,7649,Valid,1957-01-01T00:00:00.000,-31.883330,400,Distrito Quebracho
"{'type': 'Point', 'coordinates': [111.5, -7.5]}",H6,Fell,111.500000,7652,Valid,1884-01-01T00:00:00.000,-7.500000,166000,Djati-Pengilon
"{'type': 'Point', 'coordinates': [15.05, 12.73333]}",H,Fell,15.050000,7656,Valid,1961-01-01T00:00:00.000,12.733330,3950,Djermaia
"{'type': 'Point', 'coordinates': [9.55, 36.95]}",H5-6,Fell,9.550000,7657,Valid,1999-01-01T00:00:00.000,36.950000,10000,Djoumine
"{'type': 'Point', 'coordinates': [90.33333, 23.5]}",H5,Fell,90.333330,7658,Valid,1903-01-01T00:00:00.000,23.500000,3840,Dokachi
"{'type': 'Point', 'coordinates': [25.3, 50.75]}",L6,Fell,25.300000,7659,Valid,1864-01-01T00:00:00.000,50.750000,1600,Dolgovoli
"{'type': 'Point', 'coordinates': [29, 40]}",L5,Fell,29.000000,7661,Valid,1907-01-01T00:00:00.000,40.000000,438,Domanitch
"{'type': 'Point', 'coordinates': [119.03333, 45.5]}",Mesosiderite,Fell,119.033330,7706,Valid,1995-01-01T00:00:00.000,45.500000,128800,Dong Ujimqin Qi
"{'type': 'Point', 'coordinates': [82.45, 21.86667]}",H6,Fell,82.450000,7707,Valid,1899-01-01T00:00:00.000,21.866670,230,Donga Kohrod
"{'type': 'Point', 'coordinates': [120.78333, 32.91667]}",LL6,Fell,120.783330,7708,Valid,1970-01-01T00:00:00.000,32.916670,5500,Dongtai
"{'type': 'Point', 'coordinates': [112.3, 51.2]}",H5-7,Fell,112.300000,7718,Valid,1805-01-01T00:00:00.000,51.200000,3891,Doroninsk
"{'type': 'Point', 'coordinates': [3.16667, 13.05]}",L6,Fell,3.166670,7722,Valid,1962-01-01T00:00:00.000,13.050000,1250,Dosso
"{'type': 'Point', 'coordinates': [-6.3, 32.33333]}",LL6,Fell,-6.300000,7723,Valid,1932-01-01T00:00:00.000,32.333330,1161,Douar Mghila
"{'type': 'Point', 'coordinates': [33.91667, -13.66667]}",Stone-uncl,Fell,33.916670,7725,Valid,1976-01-01T00:00:00.000,-13.666670,642,Dowa
"{'type': 'Point', 'coordinates': [-86.5, 36.4]}",L6,Fell,-86.500000,7728,Valid,1827-01-01T00:00:00.000,36.400000,5000,Drake Creek
"{'type': 'Point', 'coordinates': [-82.26, 42.52]}",H6,Fell,-82.260000,7731,Valid,1939-01-01T00:00:00.000,42.520000,47700,Dresden (Ontario)
"{'type': 'Point', 'coordinates': [18.44167, 42.45833]}",L3-6,Fell,18.441670,7736,Valid,1951-01-01T00:00:00.000,42.458330,1900,Dubrovnik
"{'type': 'Point', 'coordinates': [152.83333, -31.66667]}",L6,Fell,152.833330,7743,Valid,1999-01-01T00:00:00.000,-31.666670,30,Dunbogan
"{'type': 'Point', 'coordinates': [-8.03333, 52.55]}",H5,Fell,-8.033330,7745,Valid,1865-01-01T00:00:00.000,52.550000,2270,Dundrum
"{'type': 'Point', 'coordinates': [128.25, 43.33333]}",Stone-uncl,Fell,128.250000,7749,Valid,1976-01-01T00:00:00.000,43.333330,,Dunhua
"{'type': 'Point', 'coordinates': [76.63333, 30.3]}",L6,Fell,76.633330,7750,Valid,1815-01-01T00:00:00.000,30.300000,13200,Durala
"{'type': 'Point', 'coordinates': [39.5, -4]}",L6,Fell,39.500000,7752,Valid,1853-01-01T00:00:00.000,-4.000000,577,Duruma
"{'type': 'Point', 'coordinates': [127.26667, 33.43333]}",L6,Fell,127.266670,7754,Valid,1943-01-01T00:00:00.000,33.433330,2117,Duwun
"{'type': 'Point', 'coordinates': [31.31667, -27.2]}",H4-6,Fell,31.316670,7755,Valid,1970-01-01T00:00:00.000,-27.200000,3230,Dwaleni
"{'type': 'Point', 'coordinates': [82, 26.25]}",Ureilite,Fell,82.000000,7757,Valid,1872-01-01T00:00:00.000,26.250000,300,Dyalpur
"{'type': 'Point', 'coordinates': [151, -3]}",Mesosiderite-A1,Fell,151.000000,7758,Valid,1933-01-01T00:00:00.000,-3.000000,188,Dyarrl Island
"{'type': 'Point', 'coordinates': [-96.47167, 40.78167]}",EL6,Fell,-96.471670,7760,Valid,1947-01-01T00:00:00.000,40.781670,10000,Eagle
"{'type': 'Point', 'coordinates': [15.83333, -17.3]}",H5,Fell,15.833330,7774,Valid,1961-01-01T00:00:00.000,-17.300000,2400,Ehole
"{'type': 'Point', 'coordinates': [11.21667, 48.9]}",H5,Fell,11.216670,7775,Valid,1785-01-01T00:00:00.000,48.900000,3000,Eichstädt
"{'type': 'Point', 'coordinates': [13, 56.03333]}",H4,Fell,13.000000,7776,Valid,1939-01-01T00:00:00.000,56.033330,3336,Ekeby
"{'type': 'Point', 'coordinates': [78.78333, 28.26667]}",H6,Fell,78.783330,7777,Valid,1916-01-01T00:00:00.000,28.266670,840,Ekh Khera
"{'type': 'Point', 'coordinates': [3.25, 34.41667]}",L6,Fell,3.250000,7807,Valid,1989-01-01T00:00:00.000,34.416670,10000,El Idrissia
"{'type': 'Point', 'coordinates': [-97.37, 25.37]}",H5,Fell,-97.370000,45977,Valid,1977-01-01T00:00:00.000,25.370000,17226,El Paso de Aguila
"{'type': 'Point', 'coordinates': [-103.05167, 19.96722]}",L6,Fell,-103.051670,7819,Valid,1993-01-01T00:00:00.000,19.967220,5000,El Tigre
"{'type': 'Point', 'coordinates': [-104.58817, 39.24667]}",LL6,Fell,-104.588170,7822,Valid,1998-01-01T00:00:00.000,39.246670,680.5,Elbert
"{'type': 'Point', 'coordinates': [12.73333, 50.18333]}","Iron, IID",Fell,12.733330,7823,Valid,1400-01-01T00:00:00.000,50.183330,107000,Elbogen
"{'type': 'Point', 'coordinates': [37.66667, 47.83333]}",L5,Fell,37.666670,7824,Valid,1951-01-01T00:00:00.000,47.833330,54640,Elenovka
"{'type': 'Point', 'coordinates': [4, 51.75]}",Diogenite,Fell,4.000000,10019,Valid,1925-01-01T00:00:00.000,51.750000,1470,Ellemeet
"{'type': 'Point', 'coordinates': [151.61667, -29.46667]}",Eucrite-mmict,Fell,151.616670,10033,Valid,1900-01-01T00:00:00.000,-29.466670,127,Emmaville
"{'type': 'Point', 'coordinates': [109.5, 30.3]}",H5,Fell,109.500000,10038,Valid,1974-01-01T00:00:00.000,30.300000,8000,Enshi
"{'type': 'Point', 'coordinates': [7.35, 47.86667]}",LL6,Fell,7.350000,10039,Valid,1492-01-01T00:00:00.000,47.866670,127000,Ensisheim
"{'type': 'Point', 'coordinates': [6.46667, 48.18333]}",H5,Fell,6.466670,10041,Valid,1822-01-01T00:00:00.000,48.183330,277,Épinal
"{'type': 'Point', 'coordinates': [81.89167, 19.03333]}",CM2,Fell,81.891670,10042,Valid,1940-01-01T00:00:00.000,19.033330,113,Erakot
"{'type': 'Point', 'coordinates': [44.5, 40.3]}",Howardite,Fell,44.500000,10043,Valid,1911-01-01T00:00:00.000,40.300000,107.2,Erevan
"{'type': 'Point', 'coordinates': [44.16667, 1.16667]}",L5,Fell,44.166670,10044,Valid,1889-01-01T00:00:00.000,1.166670,20000,Ergheo
"{'type': 'Point', 'coordinates': [11.25, 52.21667]}",H6,Fell,11.250000,10049,Valid,1812-01-01T00:00:00.000,52.216670,2250,Erxleben
"{'type': 'Point', 'coordinates': [-1.1, 46.25]}",L6,Fell,-1.100000,10051,Valid,1837-01-01T00:00:00.000,46.250000,1500,Esnandes
"{'type': 'Point', 'coordinates': [30.83333, 2.88333]}",C2-ung,Fell,30.833330,10055,Valid,1957-01-01T00:00:00.000,2.883330,500,Essebi
"{'type': 'Point', 'coordinates': [-94.83333, 43.41667]}",Mesosiderite-A3/4,Fell,-94.833330,10059,Valid,1879-01-01T00:00:00.000,43.416670,320000,Estherville
"{'type': 'Point', 'coordinates': [-97.03333, 39.75]}",L5,Fell,-97.033330,10074,Valid,1890-01-01T00:00:00.000,39.750000,89400,Farmington
"{'type': 'Point', 'coordinates': [-77.53333, 35.55]}",H4,Fell,-77.533330,10075,Valid,1934-01-01T00:00:00.000,35.550000,56000,Farmville
"{'type': 'Point', 'coordinates': [2.81667, 44.38333]}",H5,Fell,2.816670,10078,Valid,1844-01-01T00:00:00.000,44.383330,1500,Favars
"{'type': 'Point', 'coordinates': [-94.16667, 36.05]}",H4,Fell,-94.166670,10079,Valid,1934-01-01T00:00:00.000,36.050000,2360,Fayetteville
"{'type': 'Point', 'coordinates': [8.45, 36.88333]}",H4,Fell,8.450000,10080,Valid,1875-01-01T00:00:00.000,36.883330,380,Feid Chair
"{'type': 'Point', 'coordinates': [-87.16667, 32.53333]}",CO3.3,Fell,-87.166670,10081,Valid,1900-01-01T00:00:00.000,32.533330,3200,Felix
"{'type': 'Point', 'coordinates': [116.75, 34.6]}",H5,Fell,116.750000,10086,Valid,1924-01-01T00:00:00.000,34.600000,82,Fenghsien-Ku
"{'type': 'Point', 'coordinates': [-81.41667, 36.1]}",OC,Fell,-81.416670,10088,Valid,1889-01-01T00:00:00.000,36.100000,220,Ferguson
"{'type': 'Point', 'coordinates': [13.75333, 43.18111]}",H3-5,Fell,13.753330,10091,Valid,1996-01-01T00:00:00.000,43.181110,10200,Fermo
"{'type': 'Point', 'coordinates': [-96.85, 47.81667]}",L6,Fell,-96.850000,10107,Valid,1894-01-01T00:00:00.000,47.816670,17600,Fisher
"{'type': 'Point', 'coordinates': [-97.76667, 30.83333]}",H3,Fell,-97.766670,10111,Valid,1922-01-01T00:00:00.000,30.833330,3640,Florence
"{'type': 'Point', 'coordinates': [-93.66667, 43.25]}",H5,Fell,-93.666670,10119,Valid,1890-01-01T00:00:00.000,43.250000,152000,Forest City
"{'type': 'Point', 'coordinates': [146.85833, -33.35]}",H4,Fell,146.858330,10120,Valid,1942-01-01T00:00:00.000,-33.350000,26000,Forest Vale
"{'type': 'Point', 'coordinates': [-78.08333, 36.78333]}",L6,Fell,-78.083330,10123,Valid,1924-01-01T00:00:00.000,36.783330,6067,Forksville
"{'type': 'Point', 'coordinates': [7.31667, 50.95]}",H6,Fell,7.316670,10163,Valid,1900-01-01T00:00:00.000,50.950000,240,Forsbach
"{'type': 'Point', 'coordinates': [-83.96667, 33.01667]}",L6,Fell,-83.966670,10164,Valid,1829-01-01T00:00:00.000,33.016670,16300,Forsyth
"{'type': 'Point', 'coordinates': [7, 28.25]}",Stone-uncl,Fell,7.000000,10166,Valid,1944-01-01T00:00:00.000,28.250000,,Fort Flatters
"{'type': 'Point', 'coordinates': [-87.83333, 34.48333]}",Howardite,Fell,-87.833330,10177,Valid,1868-01-01T00:00:00.000,34.483330,650,Frankfort (stone)
"{'type': 'Point', 'coordinates': [113.56694, 31.47556]}",L5,Fell,113.566940,52412,Valid,1945-01-01T00:00:00.000,31.475560,23000,Fuhe
"{'type': 'Point', 'coordinates': [130.2, 33.18333]}",L5,Fell,130.200000,10836,Valid,1882-01-01T00:00:00.000,33.183330,11620,Fukutomi
"{'type': 'Point', 'coordinates': [10.33333, 55.33333]}",Stone-uncl,Fell,10.333330,10838,Valid,1654-01-01T00:00:00.000,55.333330,,Fünen
"{'type': 'Point', 'coordinates': [80.81667, 25.95]}",L6,Fell,80.816670,10839,Valid,1822-01-01T00:00:00.000,25.950000,4000,Futtehpur
"{'type': 'Point', 'coordinates': [115.9, 32.9]}",Stone-uncl,Fell,115.900000,10840,Valid,1977-01-01T00:00:00.000,32.900000,2500,Fuyang
"{'type': 'Point', 'coordinates': [0.4, 44.3]}",H6,Fell,0.400000,10846,Valid,1826-01-01T00:00:00.000,44.300000,132.69999999999999,Galapian
"{'type': 'Point', 'coordinates': [12.43333, 7.05]}",LL6,Fell,12.433330,10848,Valid,1952-01-01T00:00:00.000,7.050000,36.1,Galim (a)
"{'type': 'Point', 'coordinates': [12.43333, 7.05]}",EH3/4-an,Fell,12.433330,10849,Valid,1952-01-01T00:00:00.000,7.050000,28,Galim (b)
"{'type': 'Point', 'coordinates': [30.78333, 51.68333]}",H4,Fell,30.783330,10850,Valid,1995-01-01T00:00:00.000,51.683330,5000,Galkiv
"{'type': 'Point', 'coordinates': [68.53333, 27.35]}",L6,Fell,68.533330,10851,Valid,1897-01-01T00:00:00.000,27.350000,6400,Gambat
"{'type': 'Point', 'coordinates': [-2.18333, 11.65]}",H5,Fell,-2.183330,10854,Valid,1960-01-01T00:00:00.000,11.650000,,Gao-Guenie
"{'type': 'Point', 'coordinates': [68.53333, 27.88333]}","Iron, IIE",Fell,68.533330,10860,Valid,1917-01-01T00:00:00.000,27.883330,380,Garhi Yasin
"{'type': 'Point', 'coordinates': [-112.13333, 41.68333]}",Diogenite-pm,Fell,-112.133330,10861,Valid,1950-01-01T00:00:00.000,41.683330,102,Garland
"{'type': 'Point', 'coordinates': [11.03333, 12.85]}",L6,Fell,11.033330,44882,Valid,1984-01-01T00:00:00.000,12.850000,4162,Gashua
"{'type': 'Point', 'coordinates': [-2.04167, 14.15083]}",H5,Fell,-2.041670,10866,Valid,2000-01-01T00:00:00.000,14.150830,,Gasseltepaoua
"{'type': 'Point', 'coordinates': [11.91667, 12.91667]}",H5,Fell,11.916670,10870,Valid,1950-01-01T00:00:00.000,12.916670,725,Geidam
"{'type': 'Point', 'coordinates': [136.88333, 35.53333]}",L6,Fell,136.883330,10914,Valid,1909-01-01T00:00:00.000,35.533330,14290,Gifu
"{'type': 'Point', 'coordinates': [13.56667, 37.31667]}",L6,Fell,13.566670,10917,Valid,1853-01-01T00:00:00.000,37.316670,18000,Girgenti
"{'type': 'Point', 'coordinates': [9.91667, 9.6]}",L6,Fell,9.916670,10919,Valid,1947-01-01T00:00:00.000,9.600000,480,Git-Git
"{'type': 'Point', 'coordinates': [6.86667, 52.2]}",L/LL5,Fell,6.866670,10923,Valid,1990-01-01T00:00:00.000,52.200000,670,Glanerbrug
"{'type': 'Point', 'coordinates': [107.7, -7.25]}",H5-6,Fell,107.700000,10924,Valid,1939-01-01T00:00:00.000,-7.250000,1303,Glanggang
"{'type': 'Point', 'coordinates': [37.61667, 57.35]}",H4,Fell,37.616670,10926,Valid,1918-01-01T00:00:00.000,57.350000,152000,Glasatovo
"{'type': 'Point', 'coordinates': [-0.3, 52.45972]}",L6,Fell,-0.300000,10930,Valid,1991-01-01T00:00:00.000,52.459720,767,Glatton
"{'type': 'Point', 'coordinates': [16.76667, 50.66667]}",H5,Fell,16.766670,10936,Valid,1879-01-01T00:00:00.000,50.666670,1750,Gnadenfrei
"{'type': 'Point', 'coordinates': [89.05, 24.23333]}",H6,Fell,89.050000,10948,Valid,1865-01-01T00:00:00.000,24.233330,1600,Gopalpur
"{'type': 'Point', 'coordinates': [38.08333, 48.28333]}",H3.7,Fell,38.083330,10949,Valid,1974-01-01T00:00:00.000,48.283330,3618,Gorlovka
"{'type': 'Point', 'coordinates': [2.25, 42.9]}",L6,Fell,2.250000,10956,Valid,1964-01-01T00:00:00.000,42.900000,9000,Granes
"{'type': 'Point', 'coordinates': [11, 60.66667]}",L5,Fell,11.000000,11196,Valid,1976-01-01T00:00:00.000,60.666670,45.5,Grefsheim
"{'type': 'Point', 'coordinates': [-79.61667, 43.2]}",H5,Fell,-79.616670,50911,Valid,2009-01-01T00:00:00.000,43.200000,215,Grimsby
"{'type': 'Point', 'coordinates': [45.38333, 43.66667]}",CV3,Fell,45.383330,11206,Valid,1861-01-01T00:00:00.000,43.666670,3500,Grosnaja
"{'type': 'Point', 'coordinates': [18.71667, 49.26667]}",H5,Fell,18.716670,11207,Valid,1837-01-01T00:00:00.000,49.266670,10500,Gross-Divina
"{'type': 'Point', 'coordinates': [30.58333, 46.35]}",L6,Fell,30.583330,11208,Valid,1881-01-01T00:00:00.000,46.350000,8000,Grossliebenthal
"{'type': 'Point', 'coordinates': [15.5, 51.93333]}",H4,Fell,15.500000,11426,Valid,1841-01-01T00:00:00.000,51.933330,1000,Grüneberg
"{'type': 'Point', 'coordinates': [16.63333, 52.86667]}",H5,Fell,16.633330,11429,Valid,1910-01-01T00:00:00.000,52.866670,690,Grzempach
"{'type': 'Point', 'coordinates': [-58.61667, -33]}",H6,Fell,-58.616670,11432,Valid,1932-01-01T00:00:00.000,-33.000000,22000,Gualeguaychú
"{'type': 'Point', 'coordinates': [122.76389, 39.80417]}",H5,Fell,122.763890,11435,Valid,1996-01-01T00:00:00.000,39.804170,2910,Guangmingshan
"{'type': 'Point', 'coordinates': [105, 24.1]}",L6,Fell,105.000000,11436,Valid,1983-01-01T00:00:00.000,24.100000,,Guangnan
"{'type': 'Point', 'coordinates': [118.4, 37.1]}",L6,Fell,118.400000,11437,Valid,1980-01-01T00:00:00.000,37.100000,1900,Guangrao
"{'type': 'Point', 'coordinates': [-6.01667, 38.73333]}",H6,Fell,-6.016670,11439,Valid,1892-01-01T00:00:00.000,38.733330,39000,Guareña
